key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Weather[0],Rate[0],Weather[1],Rate[1],Weather[2],Rate[2],Weather[3],Rate[3],Weather[4],Rate[4],Weather[5],Rate[5],Weather[6],Rate[6],Weather[7],Rate[7]
int32,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte
0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
2,7,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
3,9,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
4,9,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
5,4,5,10,5,9,15,4,5,3,10,2,30,1,30,0,0
6,4,5,8,5,7,15,4,5,3,10,2,30,1,30,0,0
7,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
8,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
9,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
10,11,15,1,40,2,20,3,10,4,10,7,5,0,0,0,0
11,1,40,2,20,3,10,4,10,7,5,8,15,0,0,0,0
12,14,20,1,40,2,20,3,10,4,10,0,0,0,0,0,0
13,1,5,2,15,3,30,4,50,0,0,0,0,0,0,0,0
14,3,20,1,30,2,30,4,10,7,10,0,0,0,0,0,0
15,3,20,1,30,2,30,4,10,7,10,0,0,0,0,0,0
16,3,20,1,30,2,20,5,10,4,10,7,10,0,0,0,0
17,3,20,1,30,2,20,5,10,4,10,7,10,0,0,0,0
18,4,5,1,45,2,30,3,10,7,5,8,5,0,0,0,0
19,4,10,1,30,2,20,3,20,5,10,6,10,0,0,0,0
20,1,30,2,20,3,20,4,10,9,10,10,10,0,0,0,0
21,16,20,15,40,2,10,1,5,3,15,4,10,0,0,0,0
22,3,15,4,15,17,30,1,15,2,25,0,0,0,0,0,0
23,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,30,2,20,3,20,4,15,7,15,0,0,0,0,0,0
25,26,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,20,1,30,2,30,4,10,10,10,0,0,0,0,0,0
30,27,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,20,1,30,2,20,2,10,4,10,7,10,0,0,0,0
33,1,40,2,20,3,25,4,10,7,5,0,0,0,0,0,0
34,3,5,7,15,4,10,3,10,2,15,1,30,2,15,0,0
35,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
